ID	cluster	dist_rf	dist_spr	PP	sqrt(PP)	sqrt_size	log_size
266	2	8	3	0.0053054	0.0728381768031024	0.0728382	-2.27528
267	8	6	2	0.0053054	0.0728381768031024	0.0728382	-2.27528
268	-1	8	2	0.0053054	0.0728381768031024	0.0728382	-2.27528
269	-1	8	3	0.0053052	0.072836803883751	0.0728368	-2.2753
270	4	8	2	0.0053051	0.0728361174143707	0.0728361	-2.27531
271	3	8	2	0.005305	0.0728354309385206	0.0728354	-2.27531
272	-1	8	3	0.005305	0.0728354309385206	0.0728354	-2.27531
273	2	8	2	0.0053047	0.0728333714721487	0.0728334	-2.27534
274	-1	8	3	0.0053047	0.0728333714721487	0.0728334	-2.27534
275	-1	8	3	0.0053047	0.0728333714721487	0.0728334	-2.27534
276	-1	8	2	0.0053046	0.0728326849704169	0.0728327	-2.27535
277	2	8	2	0.0053046	0.0728326849704169	0.0728327	-2.27535
278	-1	8	2	0.0053046	0.0728326849704169	0.0728327	-2.27535
279	-1	8	2	0.0053045	0.0728319984622144	0.072832	-2.27536
280	-1	6	2	0.0053044	0.0728313119475408	0.0728313	-2.27536
281	-1	6	2	0.0053043	0.072830625426396	0.0728306	-2.27537
282	2	8	3	0.0053042	0.0728299388987798	0.0728299	-2.27538
283	-1	6	2	0.005304	0.0728285658241325	0.0728286	-2.2754
284	-1	8	3	0.0053039	0.072827879277101	0.0728279	-2.2754
285	2	8	3	0.0053038	0.0728271927235974	0.0728272	-2.27541
286	-1	8	2	0.0053036	0.0728258195971731	0.0728258	-2.27543
287	-1	8	3	0.0053035	0.072825133024252	0.0728251	-2.27544
288	-1	8	3	0.0053035	0.072825133024252	0.0728251	-2.27544
289	-1	8	2	0.0053032	0.0728230732666509	0.0728231	-2.27546
290	4	8	3	0.0053032	0.0728230732666509	0.0728231	-2.27546
291	-1	8	2	0.0053031	0.0728223866678372	0.0728224	-2.27547
292	-1	8	3	0.005303	0.07282170006255	0.0728217	-2.27548
293	1	8	1	0.005303	0.07282170006255	0.0728217	-2.27548
294	3	8	2	0.0053029	0.072821013450789	0.072821	-2.27549
295	-1	8	2	0.0053029	0.072821013450789	0.072821	-2.27549
296	-1	8	2	0.0053028	0.0728203268325541	0.0728203	-2.27549
297	-1	8	2	0.0053027	0.072819640207845	0.0728196	-2.2755
298	-1	8	3	0.0053027	0.072819640207845	0.0728196	-2.2755
299	-1	8	2	0.0053027	0.072819640207845	0.0728196	-2.2755
300	-1	6	2	0.0053027	0.072819640207845	0.0728196	-2.2755
301	-1	8	2	0.0053027	0.072819640207845	0.0728196	-2.2755
302	-1	8	3	0.0053027	0.072819640207845	0.0728196	-2.2755
